"등록현황별(1)","등록현황별(2)",구군별(1),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","지체",중구,1014,1060,1108,1146,1173,1179,1198,1248,1258,1274,1319,1354
"장애유형별","지체",서구,2617,2693,2760,2759,2820,2852,2937,2979,3120,3189,3266,3349
"장애유형별","지체",동구,2514,2629,2693,2723,2797,2815,2823,2938,3031,3112,3220,3290
"장애유형별","지체",영도구,3613,3728,3872,3995,4110,4205,4319,4431,4520,4605,4701,4827
"장애유형별","지체",부산진구,7686,7906,8044,8211,8369,8452,8700,9045,9275,9534,9783,9959
"장애유형별","지체",동래구,4788,4842,4980,4952,5046,5101,5155,5281,5383,5499,5597,5676
"장애유형별","지체",남구,5201,5306,5417,5658,5820,6005,6235,6289,6449,6616,6741,6961
"장애유형별","지체",북구,6638,6822,6937,7043,7130,7300,7469,7555,7678,7757,7779,7856
"장애유형별","지체",해운대구,7004,7164,7371,7603,7775,8001,8135,8275,8447,8594,8761,8936
"장애유형별","지체",사하구,7656,7768,7885,8001,8174,8388,8481,8602,8638,8703,8888,9060
"장애유형별","지체",금정구,4304,4458,4597,4692,4817,4926,4967,4999,5063,5116,5233,5396
"장애유형별","지체",강서구,2286,2341,2409,2446,2394,2325,2311,2315,2292,2160,2035,1964
"장애유형별","지체",연제구,3985,3979,4036,4117,4226,4274,4281,4298,4395,4555,4625,4689
"장애유형별","지체",수영구,3232,3312,3360,3448,3548,3612,3645,3748,3762,3812,3847,3815
"장애유형별","지체",사상구,5874,5991,6089,6246,6358,6521,6649,6753,6841,6963,7088,7273
"장애유형별","지체",기장군,3750,3839,3899,3950,3948,3902,3949,3904,3861,3795,3737,3590
"장애유형별","뇌병변",중구,266,267,273,281,306,303,319,301,293,296,280,285
"장애유형별","뇌병변",서구,625,649,654,652,662,675,701,722,723,738,762,785
"장애유형별","뇌병변",동구,569,592,609,605,630,629,616,621,617,625,649,664
"장애유형별","뇌병변",영도구,854,906,948,975,995,1008,1030,1010,983,994,1015,1035
"장애유형별","뇌병변",부산진구,1851,1929,1988,2024,2050,2060,2127,2159,2157,2168,2160,2196
