"장애인등록현황별(1)","장애인등록현황별(2)",시군별(1),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형","지체",청주시,17174,17352,17684,17868,18035,18153,18379,18566,18661,18847,19063,14378
"장애유형","지체",충주시,5816,5862,5981,6051,6111,6186,6239,6246,6267,6330,6449,6475
"장애유형","지체",제천시,5317,5437,5567,5626,5714,5770,5820,5895,5956,6007,6102,6186
"장애유형","지체",청원군,,,,,,,,,,,,4717
"장애유형","지체",보은군,1383,1403,1430,1458,1499,1529,1544,1579,1602,1655,1678,1691
"장애유형","지체",옥천군,2098,2147,2206,2229,2252,2261,2298,2334,2377,2385,2406,2406
"장애유형","지체",영동군,2045,2099,2191,2213,2267,2306,2337,2391,2449,2503,2523,2560
"장애유형","지체",증평군,1021,1035,1041,1021,1019,1038,1046,1084,1086,1072,1035,1043
"장애유형","지체",진천군,2140,2145,2180,2165,2190,2180,2157,2076,2053,2046,2016,2026
"장애유형","지체",괴산군,1586,1649,1711,1739,1785,1764,1767,1805,1828,1828,1821,1817
"장애유형","지체",음성군,3137,3151,3214,3258,3288,3319,3363,3401,3425,3422,3453,3475
"장애유형","지체",단양군,1413,1440,1468,1507,1559,1577,1573,1580,1603,1631,1642,1662
"장애유형","뇌병변",청주시,3694,3722,3781,3796,3904,3860,3874,3886,3808,3754,3737,2892
"장애유형","뇌병변",충주시,1138,1124,1186,1174,1181,1176,1174,1140,1142,1138,1139,1147
"장애유형","뇌병변",제천시,767,771,800,815,821,849,859,872,863,880,884,904
"장애유형","뇌병변",청원군,,,,,,,,,,,,854
"장애유형","뇌병변",보은군,239,234,245,244,244,251,237,249,251,252,268,269
"장애유형","뇌병변",옥천군,302,330,358,376,385,393,390,389,375,381,388,393
"장애유형","뇌병변",영동군,309,294,317,330,343,343,357,368,368,368,355,370
"장애유형","뇌병변",증평군,206,220,208,210,222,222,214,223,214,206,199,202
"장애유형","뇌병변",진천군,359,374,391,401,399,397,410,399,379,395,391,398
"장애유형","뇌병변",괴산군,250,260,261,270,277,290,300,304,293,297,284,281
