"등록현황별(1)","등록현황별(2)",행정구역(구군)별(1),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","지체",중구,1579,1536,1555,1636,1734,1801,1896,1972,2079,2108,2128
"장애유형별","지체",동구,7831,7912,8041,8183,8267,8557,8647,8794,8898,9010,9073
"장애유형별","지체",서구,4594,4621,4740,4867,4946,5184,5416,5606,5769,5922,5990
"장애유형별","지체",남구,3242,3359,3456,3544,3638,3784,3837,3936,4055,4150,4233
"장애유형별","지체",북구,8920,9214,9384,9504,9623,9731,9941,10017,10135,10234,10360
"장애유형별","지체",수성구,6559,6753,6928,7116,7355,7463,7653,7885,8030,8222,8407
"장애유형별","지체",달서구,10723,11014,11231,11563,11875,11937,12117,12490,12756,12960,13153
"장애유형별","지체",달성군,5147,5252,5276,5267,5244,5234,5170,4883,4591,4501,4581
"장애유형별","지체",군위군,1032,,,,,,,,,,
"장애유형별","뇌병변",중구,454,460,436,469,490,502,519,506,516,509,529
"장애유형별","뇌병변",동구,1849,1901,1931,1967,2003,2054,2016,2011,2018,2029,2066
"장애유형별","뇌병변",서구,1095,1113,1159,1155,1183,1193,1215,1248,1258,1269,1279
"장애유형별","뇌병변",남구,876,895,950,998,994,1028,1024,1024,1029,1029,1054
"장애유형별","뇌병변",북구,2154,2210,2241,2231,2227,2161,2166,2187,2177,2176,2164
"장애유형별","뇌병변",수성구,1736,1805,1915,1965,2002,2059,2120,2136,2187,2220,2276
"장애유형별","뇌병변",달서구,2657,2701,2790,2815,2900,2915,2926,2912,2932,2946,2943
"장애유형별","뇌병변",달성군,1167,1187,1150,1149,1116,1087,1108,1018,941,914,956
"장애유형별","뇌병변",군위군,171,,,,,,,,,,
"장애유형별","시각",중구,427,409,410,406,431,471,464,485,492,487,463
"장애유형별","시각",동구,1914,1903,1922,1937,1965,1982,1959,2001,1991,1982,1962
"장애유형별","시각",서구,1096,1093,1119,1156,1161,1188,1204,1221,1238,1240,1250
"장애유형별","시각",남구,896,934,937,964,969,984,986,999,1030,1064,1038
"장애유형별","시각",북구,1953,1976,1978,1958,1932,1980,1981,1965,1981,2003,1973
