"성·장애유형·장애등급별(1)","성·장애유형·장애등급별(2)",행정구역(일반구)별(1),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","지체장애",동구,6220,6336,6507,6601,6601,6773,6927,7075,7258,7425,7621
"장애유형별","지체장애",중구,5870,6036,6202,6293,6293,6491,6694,6787,6969,7059,7107
"장애유형별","지체장애",서구,8694,8879,9072,9311,9311,9456,9788,10043,10135,10357,10555
"장애유형별","지체장애",유성구,5310,5363,5411,5479,5479,5513,5654,5652,5608,5513,5490
"장애유형별","지체장애",대덕구,4624,4715,4800,4858,4858,4960,5206,5327,5446,5599,5636
"장애유형별","시각장애",동구,1352,1364,1364,1364,1364,1396,1431,1440,1475,1501,1521
"장애유형별","시각장애",중구,1317,1344,1363,1368,1368,1376,1399,1413,1409,1419,1449
"장애유형별","시각장애",서구,2018,2066,2090,2103,2103,2143,2161,2180,2141,2137,2136
"장애유형별","시각장애",유성구,1196,1183,1151,1174,1174,1138,1141,1124,1124,1070,1045
"장애유형별","시각장애",대덕구,928,948,974,987,987,982,1001,1046,1067,1072,1052
"장애유형별","청각장애",동구,2008,2051,2096,2115,2115,2080,1802,1647,1509,1520,1578
"장애유형별","청각장애",중구,2067,2045,2058,2060,2060,2054,1781,1581,1433,1470,1518
"장애유형별","청각장애",서구,2850,2846,2868,2887,2887,2870,2472,2235,2012,2055,2068
"장애유형별","청각장애",유성구,1625,1600,1580,1584,1584,1581,1376,1259,1114,1129,1101
"장애유형별","청각장애",대덕구,1510,1551,1540,1550,1550,1492,1302,1157,1091,1108,1131
"장애유형별","언어장애",동구,111,115,115,105,105,110,108,125,123,113,110
"장애유형별","언어장애",중구,123,128,128,131,131,131,126,121,111,106,101
"장애유형별","언어장애",서구,180,178,167,166,166,152,151,142,134,132,129
"장애유형별","언어장애",유성구,112,103,109,109,109,94,100,85,77,71,70
"장애유형별","언어장애",대덕구,92,85,84,81,81,81,70,70,68,64,68
"장애유형별","지적장애",동구,1448,1432,1407,1345,1345,1336,1233,1179,1128,1107,1056
"장애유형별","지적장애",중구,1243,1235,1198,1171,1171,1135,1037,991,983,963,912
"장애유형별","지적장애",서구,2019,1944,1902,1854,1854,1830,1705,1655,1592,1554,1510
"장애유형별","지적장애",유성구,1144,1092,1046,1024,1024,990,926,876,816,754,692
"장애유형별","지적장애",대덕구,1322,1306,1292,1256,1256,1240,1172,1140,1106,1064,1034
"장애유형별","뇌병변장애",동구,1322,1348,1415,1432,1432,1463,1488,1510,1547,1611,1626
