"장애인등록현황별(1)","장애인등록현황별(2)",시군별(1),시군별(2),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형","지체장애",남부,수원시,19199,19476,19606,19866,20258,20724,20988,21132,21100,21224,21168
"장애유형","지체장애",남부,성남시,14384,14787,15119,15471,15797,16232,16620,17031,17473,17829,18283
"장애유형","지체장애",남부,안양시,9296,9499,9576,9817,10227,10537,10771,11073,11311,11500,11763
"장애유형","지체장애",남부,부천시,16201,16681,17014,17316,17695,18000,18336,18547,18592,18911,19244
"장애유형","지체장애",남부,광명시,5521,5747,5880,6086,6540,6830,6989,7119,7296,7463,7641
"장애유형","지체장애",남부,평택시,12563,12720,12778,12602,12467,12468,12492,12453,12404,12470,12525
"장애유형","지체장애",남부,안산시,16237,16594,16880,16999,17188,17432,17775,17960,18226,18529,18858
"장애유형","지체장애",남부,과천시,869,872,868,816,810,814,832,943,1003,1029,1041
"장애유형","지체장애",남부,오산시,4018,3997,4067,4053,4038,4041,3988,3929,3955,3973,3983
"장애유형","지체장애",남부,시흥시,10751,10850,10906,10767,10380,10156,9775,9611,9569,9603,9666
"장애유형","지체장애",남부,군포시,4948,5119,5175,5327,5345,5396,5506,5544,5604,5684,5729
"장애유형","지체장애",남부,의왕시,2814,2921,3029,3053,3144,3067,3143,3158,3199,3234,3297
"장애유형","지체장애",남부,하남시,5244,5370,5432,5213,5058,4898,4623,4427,3929,3706,3672
"장애유형","지체장애",남부,용인시,15364,15570,15718,15851,15899,15774,15627,15616,15599,15615,15679
"장애유형","지체장애",남부,이천시,4950,5032,5032,4991,4974,5039,5065,5103,5138,5177,5231
"장애유형","지체장애",남부,안성시,5159,5217,5258,5280,5230,5223,5260,5277,5303,5373,5386
"장애유형","지체장애",남부,김포시,8484,8604,8594,8573,8312,8223,7980,7687,7562,7444,7244
"장애유형","지체장애",남부,화성시,14828,14754,14465,14302,14050,13520,12842,12355,11916,11340,11326
"장애유형","지체장애",남부,광주시,7839,7895,7881,7847,7735,7659,7414,7227,7085,7016,6874
"장애유형","지체장애",남부,여주시,3373,3428,3399,3400,3421,3392,3397,3406,3407,3402,3466
"장애유형","지체장애",남부,양평군,3597,3611,3582,3597,3627,3599,3603,3575,3524,3437,3442
"장애유형","지체장애",북부,의정부시,9870,10027,10130,10161,10058,10081,10129,10158,10064,10092,10163
"장애유형","지체장애",북부,동두천시,2743,2833,2859,2851,2840,2863,2903,2913,2875,2851,2821
"장애유형","지체장애",북부,고양시,17525,17895,18017,18210,18132,18064,18144,18252,18212,18035,17909
"장애유형","지체장애",북부,구리시,4026,4092,4183,4340,4403,4481,4496,4440,4296,4404,4496
"장애유형","지체장애",북부,남양주시,15417,15732,15828,15574,15552,15447,15403,15331,15344,15135,14881
"장애유형","지체장애",북부,파주시,9909,9979,9934,9787,9722,9760,9714,9641,9625,9521,9498
"장애유형","지체장애",북부,양주시,6141,5950,5862,5815,5730,5733,5652,5459,5518,5446,5392
"장애유형","지체장애",북부,포천시,5045,5153,5182,5164,5183,5268,5297,5343,5388,5375,5409
"장애유형","지체장애",북부,연천군,1715,1748,1782,1766,1790,1780,1812,1838,1857,1853,1868
"장애유형","지체장애",북부,가평군,2070,2121,2143,2148,2192,2230,2256,2268,2294,2259,2274
"장애유형","뇌병변장애",남부,수원시,4090,4168,4218,4287,4406,4380,4407,4363,4342,4298,4237
"장애유형","뇌병변장애",남부,성남시,3439,3572,3666,3752,3777,3903,3908,3869,3932,3981,4073
"장애유형","뇌병변장애",남부,안양시,1991,2077,2087,2130,2162,2182,2237,2243,2239,2255,2305
"장애유형","뇌병변장애",남부,부천시,3290,3435,3482,3480,3507,3486,3456,3383,3397,3418,3463
"장애유형","뇌병변장애",남부,광명시,1123,1181,1210,1245,1332,1379,1368,1402,1391,1385,1404
"장애유형","뇌병변장애",남부,평택시,2092,2170,2155,2079,2046,2011,1933,1901,1923,1959,1958
"장애유형","뇌병변장애",남부,안산시,2638,2684,2705,2684,2679,2764,2756,2808,2866,2866,2834
"장애유형","뇌병변장애",남부,과천시,231,242,233,204,204,215,214,246,251,255,253
"장애유형","뇌병변장애",남부,오산시,752,769,763,769,778,741,718,682,684,676,675
"장애유형","뇌병변장애",남부,시흥시,1877,1921,1870,1818,1715,1656,1516,1445,1434,1414,1444
"장애유형","뇌병변장애",남부,군포시,1039,1090,1098,1121,1111,1121,1119,1119,1126,1148,1147
"장애유형","뇌병변장애",남부,의왕시,598,638,630,628,639,608,592,597,590,581,609
"장애유형","뇌병변장애",남부,하남시,1163,1204,1177,1136,1105,1064,1014,929,787,756,756
"장애유형","뇌병변장애",남부,용인시,3642,3840,3897,3942,3948,3919,3792,3688,3580,3532,3468
"장애유형","뇌병변장애",남부,이천시,876,890,913,917,929,922,923,943,962,973,975
"장애유형","뇌병변장애",남부,안성시,884,920,901,900,882,907,883,865,905,883,917
"장애유형","뇌병변장애",남부,김포시,1719,1757,1702,1641,1604,1563,1518,1392,1362,1344,1243
"장애유형","뇌병변장애",남부,화성시,2720,2762,2676,2617,2515,2472,2323,2196,2052,1963,1969
"장애유형","뇌병변장애",남부,광주시,1685,1724,1685,1712,1686,1659,1621,1533,1525,1465,1425
"장애유형","뇌병변장애",남부,여주시,702,754,747,725,714,738,720,705,722,731,743
"장애유형","뇌병변장애",남부,양평군,735,758,762,777,777,763,766,783,804,784,812
"장애유형","뇌병변장애",북부,의정부시,2293,2344,2406,2407,2331,2289,2252,2187,2164,2100,2091
"장애유형","뇌병변장애",북부,동두천시,607,668,679,708,726,736,733,721,709,696,694
"장애유형","뇌병변장애",북부,고양시,4217,4436,4397,4383,4301,4239,4225,4134,4088,4024,4023
"장애유형","뇌병변장애",북부,구리시,753,744,784,777,793,796,798,765,742,755,773
"장애유형","뇌병변장애",북부,남양주시,3141,3227,3209,3155,3105,3023,2971,2891,2892,2812,2779
"장애유형","뇌병변장애",북부,파주시,2187,2230,2179,2184,2125,2153,2072,2039,2014,1975,2011
"장애유형","뇌병변장애",북부,양주시,1295,1250,1226,1199,1171,1148,1090,1032,1045,1030,1045
"장애유형","뇌병변장애",북부,포천시,843,882,886,895,925,926,930,929,895,926,937
"장애유형","뇌병변장애",북부,연천군,277,283,296,295,291,294,304,309,308,323,319
"장애유형","뇌병변장애",북부,가평군,405,436,467,493,537,549,569,594,602,617,638
"장애유형","시각장애",남부,수원시,4499,4514,4482,4463,4442,4397,4404,4401,4381,4348,4293
"장애유형","시각장애",남부,성남시,3446,3507,3553,3588,3633,3670,3658,3683,3723,3785,3789
"장애유형","시각장애",남부,안양시,2031,2051,2044,2103,2133,2154,2118,2127,2130,2128,2177
"장애유형","시각장애",남부,부천시,3513,3566,3628,3647,3642,3638,3636,3614,3538,3548,3577
"장애유형","시각장애",남부,광명시,1170,1222,1234,1257,1356,1373,1384,1375,1368,1416,1437
"장애유형","시각장애",남부,평택시,2337,2314,2287,2249,2227,2202,2171,2140,2128,2113,2117
"장애유형","시각장애",남부,안산시,2827,2875,2887,2897,2868,2897,2904,2937,2973,3009,3032
"장애유형","시각장애",남부,과천시,215,210,209,190,170,180,177,208,220,226,226
"장애유형","시각장애",남부,오산시,836,854,868,849,856,817,793,768,756,744,728
"장애유형","시각장애",남부,시흥시,1940,1920,1880,1817,1739,1628,1572,1519,1504,1509,1514
"장애유형","시각장애",남부,군포시,1114,1108,1100,1102,1095,1083,1101,1102,1134,1142,1120
"장애유형","시각장애",남부,의왕시,581,587,606,595,608,591,587,570,567,572,573
"장애유형","시각장애",남부,하남시,1103,1120,1123,1039,988,956,891,841,719,661,644
"장애유형","시각장애",남부,용인시,3443,3474,3428,3450,3415,3345,3181,3146,3056,3043,3039
