"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형","지체장애",포항시,12280,12567,12630,12772,12877,13061,13229,13422,13571,13673
"장애유형","지체장애",경주시,7470,7557,7670,7758,7858,7954,8036,8101,8174,8265
"장애유형","지체장애",김천시,4654,4692,4750,4845,4943,5049,5107,5158,5145,5168
"장애유형","지체장애",안동시,6031,6175,6284,6371,6446,6585,6680,6788,6856,6946
"장애유형","지체장애",구미시,6810,6876,6919,7011,7041,7116,7214,7279,7301,7347
"장애유형","지체장애",영주시,3691,3727,3785,3845,3920,3994,4050,4116,4180,4252
"장애유형","지체장애",영천시,3447,3466,3472,3483,3481,3485,3526,3589,3634,3644
"장애유형","지체장애",상주시,3685,3755,3801,3922,3960,4028,4091,4121,4197,4232
"장애유형","지체장애",문경시,2940,2983,3034,3124,3195,3246,3303,3329,3373,3377
"장애유형","지체장애",경산시,5914,5951,5951,6024,6093,6170,6241,6332,6340,6279
"장애유형","지체장애",군위군,1030,1048,1078,1091,1104,1138,1161,1166,1187,1182
"장애유형","지체장애",의성군,2527,2582,2648,2700,2749,2832,2884,2939,2993,3026
"장애유형","지체장애",청송군,1235,1249,1278,1295,1338,1358,1394,1429,1471,1466
"장애유형","지체장애",영양군,809,812,846,875,911,937,972,998,1002,1009
"장애유형","지체장애",영덕군,1717,1755,1797,1850,1871,1912,1962,1993,2008,2033
"장애유형","지체장애",청도군,1825,1845,1880,1890,1916,1972,2027,2012,2030,2039
"장애유형","지체장애",고령군,1313,1333,1351,1369,1398,1428,1453,1463,1487,1508
"장애유형","지체장애",성주군,1704,1702,1706,1707,1745,1757,1785,1796,1785,1810
"장애유형","지체장애",칠곡군,2657,2659,2700,2755,2770,2766,2803,2865,2885,2953
"장애유형","지체장애",예천군,2346,2362,2390,2423,2415,2389,2372,2404,2435,2465
"장애유형","지체장애",봉화군,1499,1525,1549,1574,1614,1636,1648,1677,1690,1694
"장애유형","지체장애",울진군,1981,2014,2055,2082,2098,2117,2160,2189,2227,2241
"장애유형","지체장애",울릉군,281,277,285,289,289,296,298,302,307,315
"장애유형","뇌병변장애",포항시,2502,2526,2524,2559,2529,2524,2541,2543,2584,2591
"장애유형","뇌병변장애",경주시,1419,1428,1418,1441,1408,1422,1432,1432,1485,1468
"장애유형","뇌병변장애",김천시,852,875,905,910,933,958,980,975,996,1005
"장애유형","뇌병변장애",안동시,1177,1227,1263,1297,1312,1366,1410,1414,1412,1452
"장애유형","뇌병변장애",구미시,1506,1514,1502,1534,1564,1537,1521,1532,1535,1546
"장애유형","뇌병변장애",영주시,777,796,805,822,844,853,858,861,850,868
"장애유형","뇌병변장애",영천시,683,696,707,717,712,719,733,730,732,749
"장애유형","뇌병변장애",상주시,689,700,712,727,738,736,736,772,810,815
"장애유형","뇌병변장애",문경시,494,507,510,525,534,543,544,540,547,558
"장애유형","뇌병변장애",경산시,1361,1356,1333,1376,1373,1374,1387,1415,1417,1422
"장애유형","뇌병변장애",군위군,178,182,184,190,181,180,184,179,182,191
"장애유형","뇌병변장애",의성군,509,508,515,533,518,517,530,527,541,555
"장애유형","뇌병변장애",청송군,206,220,221,233,233,239,244,254,260,278
"장애유형","뇌병변장애",영양군,140,144,151,154,148,149,159,172,188,196
"장애유형","뇌병변장애",영덕군,312,323,321,327,329,332,348,358,360,374
"장애유형","뇌병변장애",청도군,321,314,324,328,337,342,325,349,365,358
"장애유형","뇌병변장애",고령군,306,314,305,299,301,316,309,322,328,332
"장애유형","뇌병변장애",성주군,316,317,321,328,326,322,324,346,343,352
"장애유형","뇌병변장애",칠곡군,571,588,571,563,562,553,550,563,599,589
"장애유형","뇌병변장애",예천군,440,466,466,467,473,478,465,470,473,491
"장애유형","뇌병변장애",봉화군,228,232,236,236,247,255,260,272,275,268
"장애유형","뇌병변장애",울진군,313,319,325,350,342,334,331,331,335,350
"장애유형","뇌병변장애",울릉군,38,40,40,45,45,51,53,55,56,59
"장애유형","시각장애",포항시,2516,2562,2596,2606,2600,2632,2677,2715,2722,2772
"장애유형","시각장애",경주시,1596,1605,1589,1617,1605,1590,1602,1632,1643,1640
"장애유형","시각장애",김천시,938,925,913,924,917,922,928,934,918,929
"장애유형","시각장애",안동시,1029,1049,1059,1089,1099,1124,1129,1156,1186,1185
"장애유형","시각장애",구미시,1518,1531,1522,1547,1552,1554,1561,1541,1571,1584
"장애유형","시각장애",영주시,691,698,709,712,731,737,730,739,751,755
"장애유형","시각장애",영천시,719,724,727,739,732,719,738,737,755,748
"장애유형","시각장애",상주시,695,711,736,774,781,788,800,818,837,843
"장애유형","시각장애",문경시,608,634,642,672,692,692,718,735,750,764
"장애유형","시각장애",경산시,1282,1294,1245,1252,1245,1269,1269,1283,1298,1289
"장애유형","시각장애",군위군,187,183,183,194,203,210,213,213,207,203
"장애유형","시각장애",의성군,466,474,483,482,491,513,509,510,500,499
"장애유형","시각장애",청송군,241,245,250,256,265,265,276,281,291,292
"장애유형","시각장애",영양군,137,145,152,161,169,169,167,162,164,166
"장애유형","시각장애",영덕군,392,396,405,419,436,436,437,436,443,459
"장애유형","시각장애",청도군,344,343,348,347,361,366,372,376,379,368
"장애유형","시각장애",고령군,242,237,247,247,246,250,261,273,290,287
"장애유형","시각장애",성주군,312,308,314,316,324,334,336,340,340,342
"장애유형","시각장애",칠곡군,573,557,548,563,568,585,597,606,592,602
