"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","지체",창원시,22740,23168,23765,24091,24375,24740,25125,25450,25877,26290,26718,27200
"장애유형별","지체",진주시,7898,8090,8262,8406,8503,8641,8727,8821,8949,9032,9054,9103
"장애유형별","지체",통영시,3614,3671,3738,3800,3844,3922,3957,4002,4037,4129,4175,4240
"장애유형별","지체",사천시,3394,3455,3536,3553,3590,3620,3666,3730,3789,3841,3945,3971
"장애유형별","지체",김해시,11650,11805,11965,12077,12116,12217,12204,12293,12380,12450,12555,12677
"장애유형별","지체",밀양시,3636,3672,3746,3810,3851,3894,3968,4032,4069,4133,4195,4256
"장애유형별","지체",거제시,5906,5934,5957,5989,6066,6091,6126,6176,6271,6311,6351,6380
"장애유형별","지체",양산시,7263,7206,7230,7247,7214,7217,7209,7091,6802,6524,6424,6227
"장애유형별","지체",의령군,1187,1206,1248,1295,1327,1349,1402,1441,1481,1516,1541,1543
"장애유형별","지체",함안군,2343,2419,2492,2532,2604,2612,2667,2711,2763,2777,2815,2846
"장애유형별","지체",창녕군,2225,2267,2349,2375,2431,2465,2513,2562,2553,2607,2620,2656
"장애유형별","지체",고성군,2152,2234,2319,2337,2348,2398,2428,2443,2476,2527,2557,2597
"장애유형별","지체",남해군,1877,1938,2002,2039,2084,2150,2209,2268,2322,2394,2461,2530
"장애유형별","지체",하동군,2052,2146,2228,2280,2317,2367,2425,2484,2548,2623,2658,2714
"장애유형별","지체",산청군,1568,1601,1656,1697,1724,1748,1763,1807,1808,1855,1865,1880
"장애유형별","지체",함양군,1632,1689,1741,1781,1811,1834,1851,1909,1917,1928,1936,1956
"장애유형별","지체",거창군,2278,2366,2427,2471,2535,2600,2635,2668,2712,2743,2772,2765
"장애유형별","지체",합천군,1908,1989,2066,2131,2172,2209,2270,2357,2365,2399,2482,2496
"장애유형별","시각",창원시,4509,4510,4547,4580,6480,4576,4600,4620,4646,4675,4668,4716
"장애유형별","시각",진주시,1562,1596,1621,1628,2309,1592,1603,1595,1575,1589,1531,1502
"장애유형별","시각",통영시,789,772,771,773,856,775,770,770,774,778,802,796
"장애유형별","시각",사천시,673,679,686,678,902,674,682,681,700,716,731,729
"장애유형별","시각",김해시,2241,2229,2222,2192,3165,2193,2165,2177,2148,2123,2169,2158
"장애유형별","시각",밀양시,747,763,758,751,1952,786,801,825,840,820,811,830
"장애유형별","시각",거제시,939,938,949,951,1073,937,917,913,917,911,919,909
"장애유형별","시각",양산시,1664,1622,1600,1600,2298,1558,1553,1523,1410,1351,1282,1226
"장애유형별","시각",의령군,243,251,264,277,279,268,271,263,264,265,265,271
"장애유형별","시각",함안군,391,396,405,414,720,438,437,448,448,456,445,447
"장애유형별","시각",창녕군,424,429,439,445,1068,464,477,489,496,504,501,501
"장애유형별","시각",고성군,393,396,413,410,601,411,420,396,415,416,408,409
"장애유형별","시각",남해군,368,378,395,394,723,402,400,398,406,405,415,423
"장애유형별","시각",하동군,381,382,395,413,588,441,437,442,436,446,445,452
"장애유형별","시각",산청군,278,275,281,296,544,301,309,310,325,326,325,329
"장애유형별","시각",함양군,315,328,331,338,658,344,346,335,335,339,339,327
"장애유형별","시각",거창군,402,425,433,427,788,447,435,436,460,461,449,438
"장애유형별","시각",합천군,361,379,393,394,988,420,431,446,456,467,479,467
