"장애등록현황별(1)","장애등록현황별(2)",행정구역(시)별(1),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","지체",합계,13653,13890,14108,14206,14395,14543,14674,14746,14711,14629,14462,14411
"장애유형별","뇌병변",합계,3324,3375,3490,3503,3567,3525,3540,3528,3470,3441,3351,3359
"장애유형별","시각",합계,3933,3991,4097,4118,4142,4193,4225,4253,4270,4233,4259,4231
"장애유형별","청각",합계,6798,6754,6857,6717,6490,6232,5860,5259,4738,4364,4321,4320
"장애유형별","언어",합계,422,426,421,406,403,397,394,383,356,332,330,306
"장애유형별","지적장애",합계,3795,3750,3648,3508,3393,3311,3219,3135,3049,2958,2876,2793
"장애유형별","자폐성장애",합계,1009,885,777,686,617,560,521,470,435,398,358,319
"장애유형별","정신장애",합계,1310,1311,1307,1309,1295,1292,1281,1265,1255,1233,1187,1159
"장애유형별","신장장애",합계,1678,1633,1600,1560,1488,1390,1300,1255,1189,1115,1036,963
"장애유형별","심장장애",합계,69,69,70,75,76,80,77,77,86,90,92,91
"장애유형별","호흡기장애",합계,212,225,231,241,249,242,252,246,248,253,254,272
"장애유형별","간장애",합계,236,220,213,201,192,179,175,161,143,123,118,110
"장애유형별","안면장애",합계,31,29,28,28,25,26,26,23,23,23,24,24
"장애유형별","장루,요루장애",합계,230,227,213,195,200,193,179,179,172,181,179,165
"장애유형별","뇌전증장애",합계,118,114,116,123,123,124,117,124,133,137,142,150
