"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","지체",전주시,15846,16160,16369,16598,16739,16990,17298,17556,17944,18239
"장애유형별","지체",군산시,8643,8760,8840,8974,9114,9237,9323,9522,9651,9764
"장애유형별","지체",익산시,8686,8874,9121,9347,9623,9856,9979,10061,10305,10442
"장애유형별","지체",정읍시,4859,4875,4963,5051,5124,5221,5314,5412,5477,5581
"장애유형별","지체",남원시,3426,3500,3547,3601,3683,3752,3763,3853,3918,3981
"장애유형별","지체",김제시,4480,4568,4671,4792,4918,5053,5121,5227,5340,5437
"장애유형별","지체",완주군,3871,3909,3996,4020,4138,4168,4178,4229,4161,4125
"장애유형별","지체",진안군,1363,1374,1381,1404,1431,1463,1449,1478,1509,1533
"장애유형별","지체",무주군,1234,1243,1263,1290,1315,1337,1359,1369,1375,1392
"장애유형별","지체",장수군,1212,1217,1238,1287,1302,1314,1333,1351,1369,1392
"장애유형별","지체",임실군,1580,1627,1652,1698,1739,1779,1787,1843,1850,1874
"장애유형별","지체",순창군,1370,1387,1409,1437,1459,1498,1526,1549,1600,1622
"장애유형별","지체",고창군,2761,2832,2876,2917,2957,3030,3067,3114,3195,3222
"장애유형별","지체",부안군,2541,2577,2614,2697,2757,2818,2853,2899,2955,3014
"장애유형별","뇌병변",전주시,3272,3392,3459,3477,3470,3458,3471,3462,3475,3564
"장애유형별","뇌병변",군산시,1730,1763,1778,1795,1812,1866,1849,1839,1836,1850
"장애유형별","뇌병변",익산시,1818,1880,1919,1945,1964,1991,1970,1954,1980,1960
"장애유형별","뇌병변",정읍시,824,819,851,886,894,905,888,927,938,972
"장애유형별","뇌병변",남원시,596,625,636,642,635,662,678,688,704,715
"장애유형별","뇌병변",김제시,663,673,680,700,707,723,733,746,763,774
"장애유형별","뇌병변",완주군,674,685,693,692,712,707,722,717,697,687
"장애유형별","뇌병변",진안군,165,171,173,178,182,181,180,181,193,203
"장애유형별","뇌병변",무주군,184,192,190,200,208,214,209,207,200,196
"장애유형별","뇌병변",장수군,150,150,145,145,150,151,145,148,153,161
"장애유형별","뇌병변",임실군,214,224,233,254,251,252,245,242,246,250
"장애유형별","뇌병변",순창군,182,194,198,215,219,227,226,240,238,258
"장애유형별","뇌병변",고창군,422,445,440,440,448,459,460,440,445,458
"장애유형별","뇌병변",부안군,382,403,419,446,466,478,482,483,489,499
"장애유형별","시각",전주시,2945,2975,2966,2977,3007,2999,3004,2979,2999,3024
"장애유형별","시각",군산시,1548,1571,1576,1580,1577,1574,1590,1623,1656,1647
