"등록현황별(1)","등록현황별(2)",행정구역(시군)별(1),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형별","지체",목포시,6530,6656,6796,6922,7016,7142,7225,7337,7440,7578
"장애유형별","지체",여수시,8343,8479,8611,8750,8825,9025,9139,9334,9508,9626
"장애유형별","지체",순천시,7423,7553,7650,7697,7765,7886,7980,8058,8139,8300
"장애유형별","지체",나주시,3832,3921,3963,4049,4139,4200,4186,4208,4172,4208
"장애유형별","지체",광양시,3835,3838,3895,3967,3993,4010,4070,4099,4086,4119
"장애유형별","지체",담양군,1800,1806,1813,1835,1902,1942,1952,1956,1990,2021
"장애유형별","지체",곡성군,1493,1521,1574,1594,1635,1647,1669,1709,1735,1745
"장애유형별","지체",구례군,1384,1399,1432,1451,1488,1521,1521,1551,1598,1641
"장애유형별","지체",고흥군,3940,4031,4085,4149,4195,4317,4393,4486,4583,4656
"장애유형별","지체",보성군,2034,2081,2109,2147,2206,2253,2275,2305,2355,2377
"장애유형별","지체",화순군,2265,2277,2312,2324,2356,2390,2432,2486,2549,2560
"장애유형별","지체",장흥군,1936,1980,2021,2054,2104,2165,2210,2278,2321,2338
"장애유형별","지체",강진군,1588,1632,1667,1712,1729,1779,1820,1837,1886,1918
"장애유형별","지체",해남군,3008,3055,3131,3209,3295,3361,3422,3485,3545,3597
"장애유형별","지체",영암군,2253,2290,2330,2401,2457,2487,2556,2600,2656,2714
"장애유형별","지체",무안군,3042,3088,3094,3091,3168,3232,3295,3362,3437,3505
"장애유형별","지체",함평군,1875,1907,1969,1999,2040,2089,2094,2144,2188,2218
"장애유형별","지체",영광군,2595,2622,2674,2752,2805,2869,2933,3025,3100,3123
"장애유형별","지체",장성군,1846,1855,1915,1975,2010,2048,2071,2118,2144,2143
"장애유형별","지체",완도군,2424,2450,2499,2538,2584,2638,2662,2706,2761,2802
"장애유형별","지체",진도군,1623,1654,1692,1694,1718,1766,1787,1826,1863,1885
