"성·장애유형·장애등급별(1)","성·장애유형·장애등급별(2)",행정구역(읍면동)별(1),2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형","지체",합계,5851,5843,5778,5768,5592,5296,5013,4715,4126,3701
"장애유형","뇌병변",합계,1116,1129,1087,1067,994,935,848,750,657,635
"장애유형","시각",합계,1239,1217,1195,1182,1124,1053,985,917,805,711
"장애유형","청각",합계,1824,1780,1731,1630,1475,1300,1111,950,843,762
"장애유형","언어",합계,122,113,107,93,84,77,68,67,58,50
"장애유형","지적장애",합계,1180,1148,1116,1062,985,921,861,805,708,659
"장애유형","자폐성",합계,265,230,208,170,144,112,88,67,44,35
"장애유형","정신",합계,472,454,455,440,425,417,408,405,368,367
"장애유형","신장",합계,503,449,414,394,342,285,257,215,163,123
"장애유형","심장",합계,28,23,21,20,20,23,23,18,18,14
"장애유형","호흡기",합계,50,56,53,48,49,49,49,48,47,48
"장애유형","간",합계,81,69,69,60,59,47,39,34,27,22
"장애유형","안면",합계,13,13,12,13,14,14,10,9,7,7
"장애유형","장루요루",합계,80,80,69,72,70,67,58,50,46,43
"장애유형","뇌전증",합계,24,26,31,27,27,27,27,29,26,25
