"등록현황별(1)","등록현황별(2)",행정구역(구군)별(1),2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013
"장애유형","지체",중구,4744,4809,4894,5001,5104,5203,5340,5431,5555,5567,5541
"장애유형","지체",남구,5649,5755,5874,6022,6097,6188,6291,6395,6513,6631,6755
"장애유형","지체",동구,3062,3068,3098,3161,3189,3283,3349,3425,3476,3553,3664
"장애유형","지체",북구,4009,4066,4081,4039,4091,4006,4008,3979,3987,4007,3989
"장애유형","지체",울주군,5122,5259,5260,5293,5307,5358,5393,5415,5501,5411,5424
"장애유형","뇌병변",중구,980,1004,1041,1049,1066,1084,1123,1071,1075,1036,1044
"장애유형","뇌병변",남구,1211,1186,1181,1214,1261,1288,1279,1262,1258,1269,1311
"장애유형","뇌병변",동구,618,648,668,665,667,651,637,623,619,637,645
"장애유형","뇌병변",북구,800,839,810,763,750,726,692,678,656,654,651
"장애유형","뇌병변",울주군,1071,1159,1129,1138,1130,1159,1150,1159,1120,1090,1094
"장애유형","시각",중구,1057,1075,1094,1098,1115,1121,1144,1157,1134,1139,1124
"장애유형","시각",남구,1346,1325,1331,1343,1360,1379,1381,1404,1419,1406,1357
"장애유형","시각",동구,636,633,640,644,647,650,656,659,678,671,683
"장애유형","시각",북구,710,699,714,724,706,697,686,684,692,683,684
"장애유형","시각",울주군,1029,1058,1055,1052,1075,1071,1070,1067,1078,1050,1054
"장애유형","청각",중구,1732,1715,1702,1646,1609,1576,1500,1363,1308,1275,1275
"장애유형","청각",남구,1928,1915,1898,1869,1853,1797,1699,1566,1504,1534,1565
"장애유형","청각",동구,1380,1378,1375,1341,1333,1280,1223,1173,1114,1127,1157
"장애유형","청각",북구,1191,1208,1159,1132,1125,1069,1025,944,897,879,874
"장애유형","청각",울주군,1779,1806,1780,1707,1691,1592,1410,1307,1249,1264,1274
"장애유형","언어",중구,87,92,92,78,72,73,66,68,68,67,70
"장애유형","언어",남구,117,112,111,104,105,107,102,93,99,96,88
"장애유형","언어",동구,61,63,61,62,59,56,54,52,51,43,43
"장애유형","언어",북구,97,104,101,99,91,76,64,57,54,45,46
"장애유형","언어",울주군,88,92,88,86,89,81,73,66,57,54,55
"장애유형","지적",중구,797,780,768,750,749,734,715,694,678,648,628
"장애유형","지적",남구,989,960,926,913,865,852,842,824,798,781,754
"장애유형","지적",동구,715,685,648,622,601,571,557,533,508,483,457
"장애유형","지적",북구,965,938,919,871,857,786,745,719,694,667,643
"장애유형","지적",울주군,1322,1304,1281,1274,1225,1207,1189,1141,1129,1049,1002
"장애유형","자폐성",중구,184,169,146,124,120,107,103,101,91,93,86
"장애유형","자폐성",남구,258,232,218,207,201,190,173,160,157,148,132
"장애유형","자폐성",동구,115,103,89,78,62,59,56,56,51,47,45
"장애유형","자폐성",북구,198,172,160,151,140,114,99,87,75,68,67
"장애유형","자폐성",울주군,144,131,116,110,101,93,93,87,85,69,66
"장애유형","정신",중구,305,303,296,290,290,303,311,301,308,296,289
"장애유형","정신",남구,366,369,377,379,360,354,342,333,338,328,328
"장애유형","정신",동구,175,178,176,172,176,173,170,172,167,158,141
"장애유형","정신",북구,196,194,195,185,174,160,162,158,151,143,140
"장애유형","정신",울주군,432,427,428,426,417,415,401,403,381,398,378
"장애유형","신장",중구,471,458,446,449,417,393,372,356,327,303,281
"장애유형","신장",남구,664,621,621,593,560,519,505,470,443,423,396
"장애유형","신장",동구,362,348,351,335,309,299,280,266,263,251,232
"장애유형","신장",북구,350,337,336,302,277,257,236,225,208,194,176
"장애유형","신장",울주군,440,431,402,386,360,340,312,290,275,246,210
"장애유형","심장",중구,22,28,28,27,30,31,35,39,39,46,52
"장애유형","심장",남구,42,42,43,45,43,45,40,41,45,45,45
"장애유형","심장",동구,16,16,15,13,12,16,16,14,16,18,17
"장애유형","심장",북구,39,39,41,40,42,42,45,42,47,49,53
"장애유형","심장",울주군,38,45,47,43,45,44,43,40,46,56,59
"장애유형","호흡기",중구,46,49,51,54,58,60,62,56,50,44,47
"장애유형","호흡기",남구,60,61,60,63,59,58,56,48,51,57,58
"장애유형","호흡기",동구,58,60,58,60,55,52,46,41,37,37,40
"장애유형","호흡기",북구,36,37,34,34,34,33,35,30,28,24,26
"장애유형","호흡기",울주군,47,59,52,54,52,56,58,50,46,50,55
"장애유형","간",중구,76,74,71,68,66,61,60,53,51,43,41
"장애유형","간",남구,106,105,101,96,94,88,83,76,69,68,63
"장애유형","간",동구,54,52,51,51,48,47,45,41,38,34,31
"장애유형","간",북구,69,62,58,55,56,49,46,46,40,40,32
"장애유형","간",울주군,83,82,75,77,75,73,67,58,51,42,37
"장애유형","안면",중구,19,18,18,19,18,20,21,18,18,16,14
"장애유형","안면",남구,15,13,12,12,12,11,11,12,12,14,12
