"행정구역(시군구)별",2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"전국",51117378,51217221,51325329,51439038,51638809,51829023,51849861,51826059,51778544,51696216,51529338,51327916,51141463,50948272
"서울특별시",9299548,9331828,9386034,9428372,9509458,9668465,9729107,9765623,9857426,9930616,10022181,10103233,10143645,10195318
"종로구",137048,138336,139417,141379,144683,149384,151290,153065,154770,152737,154986,156993,160070,165207
"중구",117805,120544,121312,120437,122499,125240,126171,125725,125709,125249,125733,128065,130465,133360
"용산구",201894,203854,213151,218650,222953,230040,228670,228999,229161,230241,233342,235951,239740,243232
"성동구",274606,273669,277361,281000,285990,293556,300889,308221,304808,299259,297003,296086,299337,299604
"광진구",331167,331963,335554,337416,339996,346682,351350,355559,357703,357215,360369,363354,368927,371313
"동대문구",346241,338735,341149,336644,337400,342837,346194,348052,350647,355069,360153,363687,364273,363258
"중랑구",376916,379274,382155,385318,387350,394702,397015,403209,408226,411005,413909,418836,416798,419295
"성북구",422559,421560,425602,430397,430528,437153,442650,435868,444055,450355,459275,466706,476589,481857
"강북구",278928,283597,288113,293660,299182,308055,313954,319164,324479,327195,330873,335025,338707,343157
"도봉구",299899,303228,306948,311694,317366,325257,333362,339413,344166,348220,351242,353709,358582,362270
"노원구",483541,491247,498213,503734,510956,523037,532905,543752,554403,567581,574583,582552,590479,597189
"은평구",455137,460919,466770,466746,473307,479835,480032,483197,486794,491476,497920,498644,503660,501480
"서대문구",300147,302853,306231,306337,304819,312173,309397,310313,312800,314194,312141,310376,314110,315113
"마포구",357616,361417,363697,364638,368905,371890,374035,375077,374915,379892,387643,385439,381856,384644
"양천구",425088,430976,436028,440881,447302,454251,458165,464185,471154,477739,484532,486221,492528,495911
"강서구",549711,556171,563058,569166,574315,580185,591796,596949,601691,595485,589074,585160,569070,567431
"구로구",383829,388169,392405,395315,396754,404408,406664,404497,410742,417551,422092,425831,424964,427520
"금천구",223290,225159,227481,229642,230811,231733,232810,233917,235154,235386,236284,238463,241020,243288
"영등포구",371362,373773,374794,375675,376837,379480,367678,367778,368550,370613,378504,382352,386471,391408
"동작구",371924,375799,378769,380596,385483,391220,395963,396203,396217,400997,400641,407470,410815,405491
"관악구",477605,477812,481956,486752,485699,495060,500094,501957,503297,506851,509663,513186,518028,523029
"서초구",414428,408376,407664,404325,412279,425126,430826,433951,441102,447192,446764,449678,441763,435044
"강남구",556330,557345,544873,529102,533042,539231,545169,542364,556164,567115,576495,578114,563599,564197
"송파구",643350,650110,654166,658801,658338,667960,675961,666635,664496,657831,660302,664738,668415,673115
"강동구",499127,476942,459167,460067,462664,459970,436067,427573,436223,444168,458658,476597,483379,487905
"부산광역시",3241600,3266598,3293362,3317812,3350380,3391946,3413841,3441453,3470653,3498529,3513777,3519401,3527635,3538484
"중구",36518,37537,38619,39689,40524,41523,41910,42795,44218,45208,45816,46737,47345,48148
"서구",101892,103188,104089,105192,105164,108135,108229,110534,110039,112973,115963,118115,118783,120828
"동구",83851,85911,87792,86462,87679,88901,88165,86912,88868,89826,92069,94565,96011,98529
"영도구",101580,103737,106548,108156,110638,113342,116711,120109,123521,126362,129385,132102,135816,139765
"부산진구",365378,359281,359508,355917,353159,359886,357880,362357,371703,376526,381572,387378,389765,392731
"동래구",273277,274370,270815,273226,266866,270745,271247,266515,270727,272745,272837,275971,276689,278767
"남구",250668,254498,254185,256333,262069,267731,274480,279917,273854,278779,283101,286989,291770,291175
"북구",262862,267692,273596,278857,283211,283952,291132,296952,302924,310202,310484,306974,309719,312937
"해운대구",372604,376404,380448,386785,396438,402169,406102,409347,412039,419853,422818,423531,425536,428188
"사하구",286222,292491,297831,301987,306003,311757,321004,327791,333301,334603,337781,343371,349110,352726
"금정구",206588,209932,215590,221256,228049,232666,239062,242956,244469,244624,246026,249856,253526,255692
"강서구",150299,142789,142396,143207,142918,137957,129566,122957,117382,108909,94608,79619,69873,65806
"연제구",211727,212589,205766,203536,207144,209157,209395,207840,206742,207268,210718,208012,209290,211536
"수영구",169112,171918,174518,174806,175095,176894,176148,176246,179996,179324,179795,178480,175098,176666
"사상구",194124,198635,202932,203789,208298,212586,218094,223361,229219,232800,237711,242953,246797,250424
"기장군",174898,175626,178729,178614,177125,174545,164716,164864,161651,158527,153093,144748,132507,114566
"대구광역시",2353032,2363629,2374960,2363691,2385412,2418346,2438031,2461769,2475231,2484557,2487829,2493264,2501588,2505644
"중구",101007,97711,89064,80199,74791,76547,77421,79401,78986,79712,80928,78812,76246,75439
"동구",339281,342339,342813,339530,341436,341920,345469,351291,349379,351352,349728,347975,343802,342092
"서구",163956,163135,164088,159827,164528,170700,175277,184372,191992,199507,206028,210770,215399,220211
"남구",135542,136263,139187,141519,143175,146632,148113,150501,152845,156433,160852,163492,166062,168715
"북구",409854,413010,419624,430912,437008,440263,437710,439489,441375,440383,443119,444375,444359,448485
"수성구",409222,409107,407331,411553,417097,424314,428614,432759,439211,447011,451786,456505,461004,459779
"달서구",517059,522021,527781,536989,544926,558631,568887,573413,578068,591891,602641,606433,610358,606557
"달성군",254659,257580,262084,263162,262451,259339,256540,250543,243375,218268,192747,184902,184358,184366
"군위군",22452,22463,22988,-,-,-,-,-,-,-,-,-,-,-
"인천광역시",3051961,3021010,2997410,2967314,2948375,2942828,2957026,2954642,2948542,2943069,2925815,2902608,2879782,2843981
"중구",176467,167113,158958,152931,143633,139729,135135,122499,117999,115249,114493,111929,107774,98648
"중구영종출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-
"중구용유출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-
"동구",56477,58296,59482,58999,61486,62542,64427,66233,69487,71014,72571,73978,75093,76720
"남구",-,-,-,-,-,-,-,-,419267,417103,404893,408305,411330,414500
"미추홀구",417578,412274,405995,406004,407464,404343,408862,416542,-,-,-,-,-,-
"연수구",409437,400213,392416,385796,389644,387450,366550,346359,335142,328627,319052,310703,300305,292589
"남동구",480147,486225,492415,506181,518272,525354,532704,537161,536578,530982,531395,514656,507021,503597
"부평구",490442,493200,494138,489118,486765,494962,511577,524640,539941,549716,555844,556992,556985,559047
"계양구",277721,280227,280266,288856,295696,296750,303471,312680,323784,330284,334332,339538,343806,342202
"서구",654358,634064,624358,589013,555380,542040,544556,538596,516017,510733,504606,498686,490035,469887
"서구검단출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-
"강화군",69698,69402,69005,69803,69693,69203,69178,68896,68754,68010,67667,67118,66735,66752
"옹진군",19636,19996,20377,20613,20342,20455,20566,21036,21573,21351,20962,20703,20698,20039
"광주광역시",1392013,1408422,1419237,1431050,1441611,1450062,1456468,1459336,1463770,1469214,1472199,1475884,1472910,1469216
"동구",104888,106203,107176,105909,103470,102897,98585,94475,95448,95791,98784,100786,103016,105580
"서구",275063,279050,283991,287401,291231,296576,300975,304172,306957,309579,305028,310317,315276,316545
"남구",207596,207597,209646,212379,215575,214579,218060,216369,218454,219729,221318,219815,216254,218313
"북구",416862,423961,421683,424707,427114,430431,433533,439773,438780,441066,446316,447685,445489,443677
"광산구",387604,391611,396741,400654,404221,405579,405315,404547,404131,403049,400753,397281,392875,385101
"대전광역시",1440729,1439157,1442216,1446072,1452251,1463882,1474870,1489936,1502227,1514370,1518775,1531809,1532811,1524583
"동구",218664,218513,217628,219751,222222,223021,226771,229071,230516,234959,239579,245493,250653,251945
"중구",225645,225008,223256,227108,230341,235550,240473,244421,248933,252490,256186,261165,264913,264125
"서구",463351,457951,464634,470374,473365,477880,481222,484663,487448,491011,490859,496132,498917,496513
"유성구",367534,369468,366845,356093,351277,351047,349373,349790,348428,343222,335312,327461,313968,306312
"대덕구",165535,168217,169853,172746,175046,176384,177031,181991,186902,192688,196839,201558,204360,205688
"울산광역시",1091948,1098049,1103661,1110663,1121592,1136017,1148019,1155623,1165132,1172304,1173534,1166377,1156480,1147256
"중구",204169,207000,208668,208132,212883,217595,223581,231973,238652,242536,244481,238825,234607,233013
"남구",304128,304885,307232,310638,313819,320064,323819,330732,335439,340714,343598,347759,349064,346836
"동구",149257,150836,152287,151711,154096,156806,159656,164642,169605,174514,174963,176668,178468,175479
"북구",215220,216522,216477,218670,218735,219014,217796,206434,200718,195285,191063,188733,185695,184088
"울주군",219174,218806,218997,221512,222059,222538,223167,221842,220718,219255,219429,214392,208646,207840
"세종특별자치시",391965,390685,386525,383591,371895,355831,340575,314126,280100,243048,210884,156125,122153,113117
"세종시",391965,390685,386525,383591,371895,355831,340575,314126,280100,243048,210884,156125,122153,113117
"경기도",13730135,13694685,13630821,13589432,13565450,13427014,13239666,13077153,12873895,12716780,12522606,12357830,12234630,12093299
"수원시",1186515,1193005,1197257,1190964,1183714,1186078,1194465,1201166,1202628,1194041,1184624,1174228,1148157,1120258
"장안구",271136,274661,270849,270524,273835,273661,278377,286433,293828,296479,299016,301196,300908,291757
"권선구",361064,362642,366167,367446,364136,368645,371754,377647,365653,358393,351053,339835,331773,332633
"팔달구",191822,194397,197213,192610,182321,174930,175866,180974,193311,198515,199180,203479,204805,206794
"영통구",362493,361305,363028,360384,363422,368842,368468,356112,349836,340654,335375,329718,310671,289074
"성남시",905794,913009,919747,922518,930948,940064,942724,954347,967510,974580,971424,974608,979534,978615
"수정구",232389,234877,235942,230460,235988,241701,234678,234133,236932,232841,219531,223539,228167,233997
"중원구",203572,206978,210848,210505,210777,216131,220041,224885,230366,237909,250004,251982,256349,253883
"분당구",469833,471154,472957,481553,484183,482232,488005,495329,500212,503830,501889,499087,495018,490735
"의정부시",461572,461271,464213,463724,463661,461710,451868,447026,441584,438457,433937,431112,430976,429147
"안양시",563279,556492,544660,548228,547178,550027,567044,576831,587764,597414,597789,600809,607877,611412
"만안구",233749,229971,230664,234394,238311,239413,244235,251512,254977,252353,247270,247315,250246,253492
"동안구",329530,326521,313996,313834,308867,310614,322809,325319,332787,345061,350519,353494,357631,357920
"부천시",758796,769918,779968,790128,806067,818383,829996,843768,850329,851380,848987,855586,863720,869944
"원미구",384561,389983,-,-,-,-,-,-,-,-,-,-,-,-
"소사구",225458,227911,-,-,-,-,-,-,-,-,-,-,-,-
"원미구",-,-,-,-,-,-,-,-,-,-,442898,442638,444207,446604
"오정구",148777,152024,-,-,-,-,-,-,-,-,-,-,-,-
"소사구",-,-,-,-,-,-,-,-,-,-,222016,226400,229959,231363
"오정구",-,-,-,-,-,-,-,-,-,-,184073,186548,189554,191977
"광명시",293947,278167,280197,287945,292893,298599,316552,326841,332790,339484,344978,348560,353100,355560
"평택시",610402,598556,591022,578529,564288,537307,513027,495642,481530,470832,460532,449555,442034,434305
"송탄출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-
"안중출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-
"동두천시",86438,86838,88626,91546,93592,94353,94768,96226,97071,98277,97974,97595,97557,97175
"안산시",612508,620579,629308,641660,652726,654915,650918,660343,677710,689859,697885,707876,713666,715108
"상록구",322739,327191,334867,344664,350668,351888,344613,356311,370744,375857,379517,381508,382571,381556
"단원구",289769,293388,294441,296996,302058,303027,306305,304032,306966,314002,318368,326368,331095,333552
"고양시",1060081,1070120,1074907,1076535,1079353,1079216,1066351,1044189,1041983,1039684,1027546,1006154,990571,969916
"덕양구",485546,493097,496438,490088,482927,476962,466157,450449,448684,446233,441988,424423,410491,396559
"일산동구",296758,294123,291597,296122,298873,299716,297671,296223,293673,292612,285658,284207,283976,281949
"일산서구",277777,282900,286872,290325,297553,302538,302523,297517,299626,300839,299900,297524,296104,291408
"과천시",79908,85512,81000,78137,73345,63231,58289,58142,57527,63778,68946,70156,70578,71068
"구리시",186090,186882,187093,188701,191948,197454,199265,203553,200042,193763,186721,186820,189680,192341
"남양주시",729754,732482,732265,737353,733798,713321,701830,681828,665321,662154,653454,636256,618305,599539
"풍양출장소",0,0,0,0,-,0,-,-,-,-,-,-,-,-
"오산시",249410,242065,229656,229849,229983,229725,226379,220070,213437,208656,206828,208565,205460,200291
